subject,trial,block,group,corrRT
3101,2,6,0,1381
3101,3,6,0,795
3101,4,6,0,1103
3101,5,6,0,1662
3101,6,6,0,1029
3101,7,6,0,771
3101,8,6,0,1566
3101,9,6,0,886
3101,38,6,0,994.9097222
3102,1,1,0,1059
3102,2,1,0,879
3102,3,1,0,752
3102,4,1,0,1234
3102,5,1,0,762
3102,6,1,0,775
3102,7,1,0,723
3102,8,1,0,631
3102,9,1,0,928
3102,10,1,0,829
3102,11,1,0,715
3102,12,1,0,710
3102,13,1,0,893
3102,14,1,0,756
3102,15,1,0,974
3102,16,1,0,754
3102,17,1,0,1182
3102,18,1,0,625
3102,19,1,0,729
3102,20,1,0,834
3102,21,1,0,772
3102,22,1,0,770
3102,23,1,0,843
3102,24,1,0,942
3102,25,1,0,698
3102,26,1,0,852
3102,27,1,0,667
3102,28,1,0,909
3102,29,1,0,646
3102,30,1,0,859
3102,31,1,0,952
3102,32,1,0,1028
3102,33,1,0,806
3102,34,1,0,914
3102,35,1,0,976
3102,36,1,0,876
3102,37,1,0,701
3102,38,1,0,893
3102,39,1,0,854
3102,40,1,0,1080
3102,41,1,0,775
3102,42,1,0,966
3102,43,1,0,795
3102,44,1,0,687
3102,45,1,0,810
3102,46,1,0,774
3102,47,1,0,692
3102,48,1,0,943
3102,1,2,0,1340
3102,2,2,0,1079
3102,3,2,0,911
3102,4,2,0,939
3102,5,2,0,1128
3102,6,2,0,949
3102,7,2,0,1015
3102,8,2,0,888
3102,9,2,0,1298
3102,10,2,0,1413
3102,11,2,0,888
3102,12,2,0,1190
3102,13,2,0,696
3102,14,2,0,569
3102,15,2,0,1038
3102,16,2,0,761
3102,17,2,0,996
3102,18,2,0,836
3102,19,2,0,764
3102,20,2,0,812
3102,21,2,0,624
3102,22,2,0,865
3102,23,2,0,830
3102,24,2,0,722
3102,25,2,0,724
3102,26,2,0,892
3102,27,2,0,1039
3102,28,2,0,847
3102,29,2,0,799
3102,30,2,0,1010
3102,31,2,0,751
3102,32,2,0,774
3102,33,2,0,865.65625
3102,34,2,0,874
3102,35,2,0,672
3102,36,2,0,516
3102,37,2,0,626
3102,38,2,0,844
3102,39,2,0,963
3102,40,2,0,867
3102,41,2,0,842
3102,42,2,0,810
3102,43,2,0,1362
3102,44,2,0,651
3102,45,2,0,697
3102,46,2,0,848
3102,47,2,0,742
3102,48,2,0,771
3102,1,3,0,1024
3102,2,3,0,1389
3102,3,3,0,667
3102,4,3,0,865.65625
3102,5,3,0,790
3102,6,3,0,1292
3102,7,3,0,1020
3102,8,3,0,1321
3102,9,3,0,742
3102,10,3,0,1168
3102,11,3,0,897
3102,12,3,0,1075
3102,13,3,0,1216
3102,14,3,0,746
3102,15,3,0,884
3102,16,3,0,955
3102,17,3,0,795
3102,18,3,0,707
3102,19,3,0,1244
3102,20,3,0,736
3102,21,3,0,784
3102,22,3,0,891
3102,23,3,0,1129
3102,24,3,0,1089
3102,25,3,0,1004
3102,26,3,0,615
3102,27,3,0,859
3102,28,3,0,814
3102,29,3,0,1013
3102,30,3,0,1060
3102,31,3,0,853
3102,32,3,0,956
3102,33,3,0,862
3102,34,3,0,852
3102,35,3,0,757
3102,36,3,0,1070
3102,37,3,0,1064
3102,38,3,0,698
3102,39,3,0,1129
3102,40,3,0,617
3102,41,3,0,863
3102,42,3,0,759
3102,43,3,0,731
3102,44,3,0,815
3102,45,3,0,1196
3102,46,3,0,776
3102,47,3,0,719
3102,48,3,0,778
3102,1,4,0,1527
3102,2,4,0,872
3102,3,4,0,803
3102,4,4,0,811
3102,5,4,0,1393
3102,6,4,0,1267
3102,7,4,0,1010
3102,8,4,0,657
3102,9,4,0,692
3102,10,4,0,1400
3102,11,4,0,905
3102,12,4,0,849
3102,13,4,0,713
3102,14,4,0,865.65625
3102,15,4,0,842
3102,16,4,0,667
3102,17,4,0,865
3102,18,4,0,762
3102,19,4,0,736
3102,20,4,0,671
3102,21,4,0,849
3102,22,4,0,808
3102,23,4,0,920
3102,24,4,0,566
3102,25,4,0,977
3102,26,4,0,593
3102,27,4,0,665
3102,28,4,0,773
3102,29,4,0,971
3102,30,4,0,998
3102,31,4,0,864
3102,32,4,0,615
3102,33,4,0,1111
3102,34,4,0,575
3102,35,4,0,885
3102,36,4,0,697
3102,37,4,0,604
3102,38,4,0,832
3102,39,4,0,589
3102,40,4,0,717
3102,41,4,0,717
3102,42,4,0,811
3102,43,4,0,609
